sep=|
DIPUTACIONES
06/09/2022 22:30 (UTC-5)
CLAVE_CASILLA|CLAVE_ACTA|ID_ESTADO|ESTADO|ID_DISTRITO_LOCAL|DISTRITO_LOCAL|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|PAN|PRI|PRD|PVEM|PT|MC|MORENA|MAS|CXQROO|FXMQROO|CAND_IND_1|C_PAN_PRD_CQROO|C_PAN_PRD|C_PAN_CQROO|C_PRD_CQROO|C_PVEM_PT_MORENA_FXMQROO|C_PVEM_PT_MORENA|C_PVEM_PT_FXMQROO|C_PVEM_MORENA_FXMQROO|C_PT_MORENA_FXMQROO|C_PVEM_PT|C_PVEM_MORENA|C_PVEM_FXMQROO|C_PT_MORENA|C_PT_FXMQROO|C_MORENA_FXMQROO|NO_REGISTRADOS|NULOS|TOTAL|LISTA_NOMINAL|OBSERVACIONES
="230452B0100"|230452B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0452"|1|B|0|1|2|11|3|3|67|5|21|65|6|2|0|-|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|10|195|592|COTEJADO EN PLENO
="230452C0100"|230452C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0452"|1|C|0|1|2|8|14|3|74|3|27|58|9|6|2|-|0|0|0|0|0|0|0|0|0|0|3|0|1|0|0|0|10|218|592|COTEJADO EN PLENO
="230453B0100"|230453B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0453"|1|B|0|1|2|13|4|2|84|9|20|57|4|2|3|-|1|0|0|0|0|0|0|0|0|0|6|0|0|0|0|0|8|213|500|COTEJADO EN PLENO
="230453C0100"|230453C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0453"|1|C|0|1|2|19|6|7|72|13|22|77|4|8|2|-|0|1|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|233|499|COTEJADO EN PLENO
="230454B0100"|230454B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0454"|1|B|0|1|2|17|9|4|59|6|21|67|8|3|6|-|2|1|0|0|0|0|0|0|0|1|3|0|2|0|1|0|12|222|542|COTEJADO EN PLENO
="230454C0100"|230454C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0454"|1|C|0|1|2|18|8|5|65|5|25|59|15|6|5|-|0|0|0|0|0|0|0|0|0|1|1|0|5|0|0|0|13|231|542|COTEJADO EN PLENO
="230455B0100"|230455B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0455"|1|B|0|1|2|14|10|5|37|1|11|48|7|3|0|-|3|1|0|0|0|0|0|0|0|0|1|0|1|0|0|0|10|152|399|COTEJADO EN PLENO
="230455C0100"|230455C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0455"|1|C|0|1|2|14|2|4|33|9|16|46|11|2|1|-|1|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|10|151|399|COTEJADO EN PLENO
="230456B0100"|230456B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0456"|1|B|0|1|2|21|6|7|62|6|27|75|12|9|8|-|4|1|1|0|0|3|0|0|0|0|4|0|0|0|0|1|22|269|609|COTEJADO EN PLENO
="230457B0100"|230457B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0457"|1|B|0|1|2|15|8|5|40|8|14|45|5|4|8|-|1|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|12|167|420|COTEJADO EN PLENO
="230457C0100"|230457C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0457"|1|C|0|1|2|8|9|0|25|8|15|64|4|6|8|-|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|8|157|420|COTEJADO EN PLENO
="230458B0100"|230458B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0458"|1|B|0|1|2|7|5|3|56|19|8|80|5|3|2|-|0|0|0|0|0|1|0|0|1|0|0|1|0|0|0|1|19|211|520|COTEJADO EN PLENO
="230458C0100"|230458C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0458"|1|C|0|1|2|15|6|1|52|4|28|75|9|4|3|-|0|0|1|0|0|1|0|0|0|1|4|0|0|0|0|0|11|215|519|COTEJADO EN PLENO
="230459B0100"|230459B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0459"|1|B|0|1|2|21|9|6|91|13|27|94|9|3|3|-|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|10|288|723|COTEJADO EN PLENO
="230460B0100"|230460B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0460"|1|B|0|1|2|13|5|5|66|6|24|76|6|3|1|-|1|0|0|0|1|0|0|0|0|1|4|0|1|0|0|1|13|227|563|COTEJADO EN PLENO
="230460C0100"|230460C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0460"|1|C|0|1|2|20|3|4|72|3|22|79|7|0|6|-|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|11|229|563|COTEJADO EN PLENO
="230461B0100"|230461B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0461"|1|B|0|1|2|16|3|1|113|6|7|56|7|2|3|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16|230|481|COTEJADO EN PLENO
="230462B0100"|230462B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0462"|1|B|0|1|2|22|4|5|56|2|19|52|3|3|2|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|14|182|481|COTEJADO EN PLENO
="230463B0100"|230463B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0463"|1|B|0|1|2|35|6|2|98|15|33|95|10|2|3|-|2|1|1|0|0|1|0|0|0|2|3|0|0|0|0|0|9|318|693|COTEJADO EN PLENO
="230464B0100"|230464B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0464"|1|B|0|1|2|17|5|3|85|4|10|77|6|4|2|-|1|1|0|0|0|0|0|0|0|0|2|1|0|1|0|0|16|235|521|COTEJADO EN PLENO
="230465B0100"|230465B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0465"|1|B|0|1|2|25|8|4|38|5|22|92|12|3|5|-|2|0|0|0|0|2|0|0|0|0|0|1|0|0|0|0|13|232|590|COTEJADO EN PLENO
="230466B0100"|230466B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0466"|1|B|0|1|2|12|2|4|113|2|24|71|6|3|3|-|0|0|1|0|0|0|0|0|0|1|0|0|0|0|1|0|0|243|621|COTEJADO EN PLENO
="230467B0100"|230467B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0467"|1|B|0|1|2|11|1|1|47|2|17|55|0|2|2|-|0|0|0|0|0|1|0|0|0|1|1|0|0|0|0|0|8|149|433|COTEJADO EN PLENO
="230468B0100"|230468B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0468"|1|B|0|1|2|15|5|3|52|5|22|74|10|0|1|-|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|13|202|485|COTEJADO EN PLENO
="230469B0100"|230469B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0469"|1|B|0|1|2|13|7|4|89|4|15|58|5|6|8|-|0|1|0|0|1|0|0|0|0|0|2|0|0|0|0|0|11|224|534|COTEJADO EN PLENO
="230470B0100"|230470B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0470"|1|B|0|1|2|26|14|6|118|4|39|71|6|6|4|-|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|7|302|592|COTEJADO EN PLENO
="230471B0100"|230471B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0471"|1|B|0|1|2|22|8|4|74|7|26|93|15|6|4|-|0|2|0|0|0|0|0|3|0|0|0|0|1|0|1|0|13|279|659|COTEJADO EN PLENO
="230472B0100"|230472B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0472"|1|B|0|2|2|20|9|5|97|7|31|64|10|3|8|-|2|0|3|0|0|0|0|0|0|1|3|0|0|0|0|0|21|284|743|COTEJADO EN PLENO
="230472C0100"|230472C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0472"|1|C|0|2|2|18|15|5|92|10|23|76|8|4|7|-|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|260|743|COTEJADO EN PLENO
="230473B0100"|230473B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0473"|1|B|0|1|2|13|9|4|135|3|14|62|5|3|1|-|0|1|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|252|580|COTEJADO EN PLENO
="230473C0100"|230473C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0473"|1|C|0|1|2|19|6|3|120|5|19|49|9|0|0|-|0|2|0|0|0|0|0|0|0|0|2|0|0|0|0|0|20|254|579|COTEJADO EN PLENO
="230474B0100"|230474B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0474"|1|B|0|1|2|19|11|5|101|4|22|63|15|6|6|-|1|2|0|0|1|4|0|0|0|0|1|0|1|0|0|0|22|284|697|COTEJADO EN PLENO
="230474C0100"|230474C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0474"|1|C|0|1|2|14|10|8|105|5|22|63|13|3|7|-|1|2|0|0|0|2|0|0|0|0|2|0|3|0|0|6|22|288|697|COTEJADO EN PLENO
="230475B0100"|230475B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0475"|1|B|0|1|2|21|8|3|67|7|30|78|15|7|3|-|2|2|0|0|0|0|0|0|0|0|1|0|0|0|0|0|19|263|650|COTEJADO EN PLENO
="230475C0100"|230475C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0475"|1|C|0|1|2|19|9|13|69|10|26|61|15|4|5|-|1|3|0|0|1|0|0|0|0|0|0|0|0|0|0|0|39|275|650|COTEJADO EN PLENO
="230476B0100"|230476B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0476"|1|B|0|1|2|8|7|4|75|5|26|65|12|4|7|-|0|2|0|2|0|0|0|0|0|0|0|0|0|0|0|0|23|240|539|COTEJADO EN PLENO
="230476C0100"|230476C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0476"|1|C|0|1|2|22|6|2|68|4|20|81|11|6|6|-|2|0|1|0|0|0|0|0|0|1|0|0|1|0|1|1|15|248|538|COTEJADO EN PLENO
="230477B0100"|230477B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0477"|1|B|0|1|2|15|12|3|103|9|17|83|11|6|7|-|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|1|19|289|642|COTEJADO EN PLENO
="230477C0100"|230477C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0477"|1|C|0|1|2|15|3|2|74|4|28|58|6|4|3|-|0|0|0|0|0|0|0|0|0|1|2|0|0|0|0|0|0|200|641|COTEJADO EN PLENO
="230478B0100"|230478B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0478"|1|B|0|1|2|12|7|2|83|1|16|74|13|3|3|-|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|17|233|528|COTEJADO EN PLENO
="230478C0100"|230478C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0478"|1|C|0|1|2|15|11|5|87|3|18|65|9|7|3|-|0|0|0|0|1|0|0|0|0|0|3|0|1|0|0|0|14|242|528|COTEJADO EN PLENO
="230479B0100"|230479B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0479"|1|B|0|1|2|16|4|3|48|4|35|70|3|1|0|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|194|503|COTEJADO EN PLENO
="230479C0100"|230479C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0479"|1|C|0|1|2|17|5|4|53|4|18|90|13|7|3|-|2|0|0|0|1|0|0|0|0|0|1|0|0|0|0|1|14|233|503|COTEJADO EN PLENO
="230480B0100"|230480B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0480"|1|B|0|1|2|15|7|5|41|5|21|64|12|4|0|-|0|1|1|0|0|0|0|0|0|0|2|0|0|0|0|1|9|188|508|COTEJADO EN PLENO
="230480C0100"|230480C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0480"|1|C|0|1|2|12|15|3|56|4|29|63|17|3|4|-|0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|11|220|507|COTEJADO EN PLENO
="230481B0100"|230481B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0481"|1|B|0|1|2|28|12|6|65|2|38|106|8|9|3|-|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|23|303|663|COTEJADO EN PLENO
="230481C0100"|230481C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0481"|1|C|0|1|2|19|10|4|84|7|32|72|9|9|3|-|0|0|0|0|1|0|0|0|0|0|4|0|0|0|0|0|10|264|662|COTEJADO EN PLENO
="230482B0100"|230482B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0482"|1|B|0|1|2|16|6|1|127|5|16|85|5|3|1|-|0|1|1|0|0|0|0|0|0|0|4|0|0|0|0|0|14|285|666|COTEJADO EN PLENO
="230483B0100"|230483B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0483"|1|B|0|1|2|12|5|1|86|4|17|63|4|2|1|-|1|0|1|0|3|0|0|0|0|0|1|0|1|0|0|0|13|215|450|COTEJADO EN PLENO
="230483C0100"|230483C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0483"|1|C|0|1|2|11|8|1|73|6|21|41|6|5|2|-|0|0|0|0|0|0|0|0|0|0|5|0|0|0|0|0|8|187|449|COTEJADO EN PLENO
="230484B0100"|230484B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0484"|1|B|0|1|2|16|0|3|104|6|24|41|9|5|3|-|0|0|0|0|0|0|0|0|0|1|2|0|0|0|0|0|26|240|535|COTEJADO EN PLENO
="230484C0100"|230484C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0484"|1|C|0|1|2|12|3|3|94|3|18|44|5|6|3|-|0|0|0|0|1|1|0|0|0|0|2|0|0|0|0|0|25|220|534|COTEJADO EN PLENO
="230485B0100"|230485B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0485"|1|B|0|1|2|12|4|2|69|8|12|77|6|9|2|-|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|10|213|494|COTEJADO EN PLENO
="230485C0100"|230485C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0485"|1|C|0|1|2|19|2|4|53|6|18|63|6|13|0|-|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|195|494|COTEJADO EN PLENO
="230486B0100"|230486B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0486"|1|B|0|1|2|6|2|4|75|3|10|39|7|6|2|-|1|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|11|168|395|RECONTADO EN PLENO
="230486C0100"|230486C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0486"|1|C|0|1|2|11|5|1|64|5|9|57|4|6|1|-|1|2|0|0|0|0|0|0|0|0|1|0|0|0|0|0|10|177|395|COTEJADO EN PLENO
="230487B0100"|230487B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0487"|1|B|0|1|2|2|5|1|64|6|28|46|8|0|4|-|0|0|0|0|0|1|1|0|0|0|0|0|1|0|0|0|5|172|384|COTEJADO EN PLENO
="230487C0100"|230487C010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0487"|1|C|0|1|2|9|2|4|71|1|26|44|1|4|1|-|1|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|6|172|383|COTEJADO EN PLENO
="230488B0100"|230488B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0488"|1|B|0|1|2|27|9|4|78|21|32|103|18|10|15|-|1|1|0|0|0|1|0|0|0|1|2|0|1|0|0|0|7|331|681|COTEJADO EN PLENO
="230489B0100"|230489B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0489"|1|B|0|1|2|20|8|4|97|4|37|109|8|4|2|-|0|1|0|0|2|1|0|0|0|1|0|0|3|0|0|1|15|317|678|COTEJADO EN PLENO
="230490B0100"|230490B010002|23|QUINTANA ROO|="04"|DISTRITO 4|="0490"|1|B|0|1|2|18|14|1|113|15|22|98|10|6|5|-|0|1|1|0|0|0|0|0|0|0|4|0|2|0|0|0|18|328|730|COTEJADO EN PLENO
="230021B0100"|230021B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0021"|1|B|0|1|2|18|5|4|43|4|19|57|14|1|1|-|1|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|7|176|471|COTEJADO EN PLENO
="230021C0100"|230021C010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0021"|1|C|0|1|2|26|6|3|38|7|19|59|10|0|1|-|0|0|0|0|2|2|0|0|0|1|1|0|1|0|0|1|7|184|471|COTEJADO EN PLENO
="230022B0100"|230022B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0022"|1|B|0|1|2|25|3|7|39|7|31|68|10|0|4|-|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|6|201|503|COTEJADO EN PLENO
="230022C0100"|230022C010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0022"|1|C|0|1|2|16|7|1|28|3|9|74|13|1|5|-|2|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|7|169|502|COTEJADO EN PLENO
="230023B0100"|230023B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0023"|1|B|0|1|2|28|17|1|76|6|25|119|12|3|2|-|1|0|0|2|1|0|0|0|0|0|1|0|1|0|1|1|15|312|738|COTEJADO EN PLENO
="230024B0100"|230024B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0024"|1|B|0|1|2|30|10|8|34|6|25|94|13|2|3|-|0|1|0|0|1|1|0|0|0|0|0|2|1|2|0|0|8|241|560|COTEJADO EN PLENO
="230024C0100"|230024C010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0024"|1|C|0|1|2|25|10|4|32|9|28|93|17|4|1|-|1|1|0|0|0|2|0|0|1|0|0|0|0|0|0|0|5|233|560|COTEJADO EN PLENO
="230025B0100"|230025B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0025"|1|B|0|1|2|28|10|5|37|9|20|104|6|2|6|-|0|0|0|0|0|2|0|0|0|2|2|0|0|0|0|0|16|249|672|COTEJADO EN PLENO
="230026B0100"|230026B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0026"|1|B|0|1|2|32|11|4|56|7|30|81|6|3|1|-|1|2|0|0|3|0|0|0|0|0|3|0|0|0|0|0|14|254|685|COTEJADO EN PLENO
="230027B0100"|230027B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0027"|1|B|0|1|2|30|17|1|39|9|17|55|7|1|1|-|0|1|0|0|0|0|0|0|0|2|0|1|0|0|0|0|19|200|489|COTEJADO EN PLENO
="230027C0100"|230027C010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0027"|1|C|0|1|2|26|6|1|40|5|21|64|12|3|2|-|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|189|489|COTEJADO EN PLENO
="230028B0100"|230028B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0028"|1|B|0|1|2|19|12|6|58|8|22|81|14|2|5|-|1|1|0|0|0|1|0|0|0|0|1|0|0|1|0|1|13|246|546|COTEJADO EN PLENO
="230028C0100"|230028C010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0028"|1|C|0|1|2|18|13|5|56|6|20|92|8|2|7|-|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|15|244|546|COTEJADO EN PLENO
="230043B0100"|230043B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0043"|1|B|0|1|2|7|5|0|51|8|28|79|8|1|9|-|0|0|0|0|0|0|0|1|0|0|1|1|1|0|1|0|13|214|428|COTEJADO EN PLENO
="230043C0100"|230043C010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0043"|1|C|0|1|2|11|8|2|24|11|29|101|6|4|4|-|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0|8|211|428|COTEJADO EN PLENO
="230044B0100"|230044B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0044"|1|B|0|1|2|17|4|1|46|7|27|94|7|3|4|-|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|1|13|227|590|COTEJADO EN PLENO
="230044C0100"|230044C010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0044"|1|C|0|1|2|23|6|3|46|5|21|85|7|1|4|-|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|2|15|220|589|COTEJADO EN PLENO
="230045B0100"|230045B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0045"|1|B|0|1|2|26|18|7|21|8|40|99|10|1|2|-|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|1|8|243|565|COTEJADO EN PLENO
="230045C0100"|230045C010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0045"|1|C|0|1|2|35|7|10|29|10|28|81|5|2|3|-|0|0|0|0|0|0|0|0|1|0|0|0|2|0|0|0|8|221|564|COTEJADO EN PLENO
="230057B0100"|230057B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0057"|1|B|0|1|2|44|9|1|19|4|25|69|8|4|3|-|0|0|0|0|1|0|0|1|0|0|0|0|1|0|0|0|0|189|547|RECONTADO EN PLENO
="230057C0100"|230057C010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0057"|1|C|0|1|2|35|9|1|24|5|24|68|7|1|1|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|5|181|546|COTEJADO EN PLENO
="230057C0200"|230057C020002|23|QUINTANA ROO|="05"|DISTRITO 5|="0057"|2|C|0|1|2|43|19|3|20|7|31|66|12|0|5|-|0|0|0|0|1|0|0|0|0|0|0|0|2|0|1|0|5|215|546|COTEJADO EN PLENO
="230058B0100"|230058B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0058"|1|B|0|1|2|42|19|4|43|6|28|108|14|2|10|-|1|0|0|0|1|1|0|0|0|0|4|0|1|0|0|0|14|298|675|COTEJADO EN PLENO
="230059B0100"|230059B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0059"|1|B|0|1|2|29|9|0|27|9|21|77|9|3|6|-|1|0|0|0|0|0|0|0|0|0|2|0|0|0|1|1|9|204|554|COTEJADO EN PLENO
="230059C0100"|230059C010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0059"|1|C|0|1|2|38|11|4|24|6|36|70|12|2|3|-|1|1|0|0|0|0|0|0|0|0|1|0|2|0|0|0|10|221|554|RECONTADO EN PLENO
="230060B0100"|230060B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0060"|1|B|0|1|2|18|8|4|44|7|18|75|7|1|8|-|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|10|202|520|COTEJADO EN PLENO
="230060C0100"|230060C010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0060"|1|C|0|1|2|28|7|3|41|8|16|84|10|4|5|-|1|1|0|0|1|0|1|0|0|0|1|0|1|0|0|0|8|220|520|COTEJADO EN PLENO
="230060C0200"|230060C020002|23|QUINTANA ROO|="05"|DISTRITO 5|="0060"|2|C|0|1|2|28|7|2|46|9|13|66|16|0|3|-|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|8|200|520|COTEJADO EN PLENO
="230061B0100"|230061B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0061"|1|B|0|1|2|35|12|3|27|5|21|72|11|5|1|-|0|1|0|0|1|0|2|0|1|0|0|0|0|0|0|0|12|209|456|COTEJADO EN PLENO
="230061C0100"|230061C010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0061"|1|C|0|1|2|26|7|1|29|4|33|50|9|3|4|-|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|16|184|455|COTEJADO EN PLENO
="230062B0100"|230062B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0062"|1|B|0|1|2|21|5|5|41|5|25|81|13|2|0|-|0|0|0|0|0|0|0|0|0|1|5|0|0|0|0|0|9|213|464|COTEJADO EN PLENO
="230062C0100"|230062C010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0062"|1|C|0|1|2|19|8|5|41|4|20|77|5|1|5|-|2|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|4|192|464|COTEJADO EN PLENO
="230063B0100"|230063B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0063"|1|B|0|1|2|37|11|3|62|8|27|106|21|2|5|-|2|0|0|0|2|1|1|0|0|1|2|0|1|0|2|0|12|306|743|COTEJADO EN PLENO
="230064B0100"|230064B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0064"|1|B|0|1|2|15|4|2|45|8|17|82|4|2|5|-|0|1|0|0|0|1|0|0|0|0|1|0|3|0|0|0|3|193|438|COTEJADO EN PLENO
="230064C0100"|230064C010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0064"|1|C|0|1|2|17|8|0|40|6|17|71|8|4|2|-|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|9|183|438|COTEJADO EN PLENO
="230065B0100"|230065B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0065"|1|B|0|1|2|22|5|2|20|3|17|71|10|1|3|-|1|2|0|0|0|0|1|1|0|1|0|0|1|0|1|1|3|166|506|COTEJADO EN PLENO
="230065C0100"|230065C010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0065"|1|C|0|1|2|19|3|2|44|3|24|66|13|4|4|-|0|0|0|0|0|1|0|0|0|0|0|0|2|0|1|0|8|194|506|COTEJADO EN PLENO
="230066B0100"|230066B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0066"|1|B|0|1|2|24|6|59|2|5|20|60|6|0|1|-|0|2|1|0|1|0|0|0|0|0|0|0|2|0|0|1|16|206|651|RECONTADO EN PLENO
="230067B0100"|230067B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0067"|1|B|0|1|2|22|7|3|49|9|22|92|8|5|0|-|1|1|0|1|0|1|0|2|0|1|1|0|1|0|0|0|16|242|723|RECONTADO EN PLENO
="230068B0100"|230068B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0068"|1|B|0|1|2|23|9|1|30|5|35|94|16|3|8|-|2|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|7|235|742|COTEJADO EN PLENO
="230069B0100"|230069B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0069"|1|B|0|1|2|16|6|4|19|11|30|91|8|1|3|-|0|1|0|0|0|1|0|0|0|0|1|0|2|0|0|1|9|204|580|COTEJADO EN PLENO
="230076B0100"|230076B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0076"|1|B|0|1|2|53|9|4|25|8|46|101|11|3|5|-|0|0|0|0|1|2|0|0|0|0|0|0|1|0|0|3|11|283|610|COTEJADO EN PLENO
="230076C0100"|230076C010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0076"|1|C|0|1|2|49|11|1|19|4|32|79|5|6|6|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12|224|610|COTEJADO EN PLENO
="230076C0200"|230076C020002|23|QUINTANA ROO|="05"|DISTRITO 5|="0076"|2|C|0|1|2|48|16|3|18|1|27|89|10|3|3|-|1|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|12|233|609|COTEJADO EN PLENO
="230077B0100"|230077B010002|23|QUINTANA ROO|="05"|DISTRITO 5|="0077"|1|B|0|1|2|46|11|3|10|7|20|64|14|3|3|-|2|0|0|0|1|0|0|0|0|0|0|0|0|0|0|2|6|192|475|COTEJADO EN PLENO
