sep=|
DIPUTACIONES
06/09/2022 22:30 (UTC-5)
CLAVE_CASILLA|CLAVE_ACTA|ID_ESTADO|ESTADO|ID_DISTRITO_LOCAL|DISTRITO_LOCAL|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|PAN|PRI|PRD|PVEM|PT|MC|MORENA|MAS|CXQROO|FXMQROO|CAND_IND_1|C_PAN_PRD_CQROO|C_PAN_PRD|C_PAN_CQROO|C_PRD_CQROO|C_PVEM_PT_MORENA_FXMQROO|C_PVEM_PT_MORENA|C_PVEM_PT_FXMQROO|C_PVEM_MORENA_FXMQROO|C_PT_MORENA_FXMQROO|C_PVEM_PT|C_PVEM_MORENA|C_PVEM_FXMQROO|C_PT_MORENA|C_PT_FXMQROO|C_MORENA_FXMQROO|NO_REGISTRADOS|NULOS|TOTAL|LISTA_NOMINAL|OBSERVACIONES
="230097B0100"|230097B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0097"|1|B|0|1|2|49|15|2|61|1|16|42|15|3|3|-|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|10|220|593|COTEJADO EN PLENO
="230114B0100"|230114B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0114"|1|B|0|1|2|6|2|2|27|2|11|34|1|0|0|-|0|0|0|0|0|1|0|1|0|0|1|0|0|0|0|0|0|88|377|COTEJADO EN PLENO
="230114C0100"|230114C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0114"|1|C|0|1|2|9|2|1|32|2|7|25|3|2|1|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|84|376|COTEJADO EN PLENO
="230115B0100"|230115B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0115"|1|B|0|1|2|8|2|3|28|3|12|30|2|2|4|-|0|1|0|0|1|0|0|1|0|0|2|0|0|0|0|0|7|106|472|COTEJADO EN PLENO
="230115C0100"|230115C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0115"|1|C|0|1|2|6|5|1|24|3|14|28|5|0|2|-|1|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|1|92|471|COTEJADO EN PLENO
="230116B0100"|230116B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0116"|1|B|0|1|2|27|10|3|32|9|11|38|6|2|3|-|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|150|449|COTEJADO EN PLENO
="230116C0100"|230116C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0116"|1|C|0|1|2|26|6|6|38|3|12|44|6|0|4|-|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|157|449|COTEJADO EN PLENO
="230117B0100"|230117B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0117"|1|B|0|1|2|35|8|1|69|4|20|67|28|1|0|-|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|15|250|549|COTEJADO EN PLENO
="230117C0100"|230117C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0117"|1|C|0|1|2|31|1|4|79|4|17|59|25|2|3|-|1|1|0|0|0|0|0|0|0|0|3|0|0|0|0|0|13|243|548|COTEJADO EN PLENO
="230119B0100"|230119B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0119"|1|B|0|1|2|85|8|1|8|3|23|37|7|0|1|-|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|3|178|529|COTEJADO EN PLENO
="230136B0100"|230136B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0136"|1|B|0|1|2|66|12|4|19|2|11|23|6|5|4|-|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|2|6|162|471|COTEJADO EN PLENO
="230137B0100"|230137B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0137"|1|B|0|1|2|107|16|3|6|4|18|50|6|4|3|-|2|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|5|225|584|COTEJADO EN PLENO
="230137S0100"|230137S010003|23|QUINTANA ROO|="01"|DISTRITO 1|="0137"|1|S|0|1|3 EMR|17|5|3|9|1|10|44|23|0|6|-|0|1|0|0|1|0|0|0|0|0|0|1|0|0|1|0|5|127|0|COTEJADO EN PLENO
="230137S0100"|230137S010003|23|QUINTANA ROO|="01"|DISTRITO 1|="137"|1|S|0|1|3 ERP|88|24|16|78|24|89|231|55|9|11|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|38|663|0|COTEJADO EN PLENO
="230169B0100"|230169B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0169"|1|B|0|1|2|164|13|2|8|4|10|17|2|1|2|-|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|5|229|645|COTEJADO EN PLENO
="230169C0100"|230169C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0169"|1|C|0|1|2|158|11|2|13|3|21|20|5|1|3|-|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|242|645|COTEJADO EN PLENO
="230169C0200"|230169C020002|23|QUINTANA ROO|="01"|DISTRITO 1|="0169"|2|C|0|1|2|172|5|5|16|3|13|12|3|1|4|-|1|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|7|244|645|COTEJADO EN PLENO
="230169C0300"|230169C030002|23|QUINTANA ROO|="01"|DISTRITO 1|="0169"|3|C|0|1|2|147|13|5|6|4|9|17|5|2|3|-|2|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|4|219|645|COTEJADO EN PLENO
="230169S0100"|230169S010003|23|QUINTANA ROO|="01"|DISTRITO 1|="0169"|1|S|0|1|3 EMR|101|11|8|33|3|43|117|30|5|11|-|7|2|0|0|1|1|0|1|0|1|1|0|2|0|0|0|13|391|0|RECONTADO EN PLENO
="230169S0100"|230169S010003|23|QUINTANA ROO|="01"|DISTRITO 1|="169"|1|S|0|1|3 ERP|98|12|8|29|6|56|122|54|3|16|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|30|435|0|RECONTADO EN PLENO
="230170B0100"|230170B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0170"|1|B|0|1|2|116|13|3|14|3|5|23|6|0|5|-|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|2|191|652|COTEJADO EN PLENO
="230170C0100"|230170C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0170"|1|C|0|1|2|110|11|2|7|3|12|15|4|0|5|-|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|1|1|173|651|COTEJADO EN PLENO
="230170C0200"|230170C020002|23|QUINTANA ROO|="01"|DISTRITO 1|="0170"|2|C|0|1|2|125|13|3|8|6|17|15|8|3|1|-|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|202|651|COTEJADO EN PLENO
="230170C0300"|230170C030002|23|QUINTANA ROO|="01"|DISTRITO 1|="0170"|3|C|0|1|2|114|20|2|16|4|9|19|7|2|3|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|24|220|651|COTEJADO EN PLENO
="230177B0100"|230177B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0177"|1|B|0|2|2|20|7|3|189|34|8|89|29|1|5|-|0|1|0|0|1|0|0|0|0|1|12|0|1|0|0|0|24|425|744|COTEJADO EN PLENO
="230177C0100"|230177C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0177"|1|C|0|2|2|25|4|3|182|13|8|107|21|1|3|-|1|0|0|0|1|0|0|0|0|0|5|0|2|0|1|0|19|396|743|COTEJADO EN PLENO
="230177C0200"|230177C020002|23|QUINTANA ROO|="01"|DISTRITO 1|="0177"|2|C|0|2|2|11|3|3|162|26|5|108|27|7|7|-|1|0|0|0|0|1|0|0|0|4|5|0|4|1|1|0|32|408|743|COTEJADO EN PLENO
="230177C0300"|230177C030002|23|QUINTANA ROO|="01"|DISTRITO 1|="0177"|3|C|0|2|2|24|2|3|162|35|9|104|26|0|4|-|0|0|0|0|0|0|0|1|0|1|6|1|2|0|0|0|19|399|743|COTEJADO EN PLENO
="230177C0400"|230177C040002|23|QUINTANA ROO|="01"|DISTRITO 1|="0177"|4|C|0|2|2|22|8|5|152|41|6|119|21|1|8|-|1|0|0|0|1|0|0|0|0|1|7|0|0|0|0|0|21|414|743|COTEJADO EN PLENO
="230178B0100"|230178B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0178"|1|B|0|2|2|11|4|3|178|71|6|98|29|1|2|-|0|0|0|0|0|1|0|0|0|2|8|0|0|0|0|0|10|424|749|COTEJADO EN PLENO
="230178C0100"|230178C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0178"|1|C|0|2|2|24|4|2|156|43|10|100|14|3|3|-|0|0|0|0|1|0|0|0|0|2|8|0|1|0|0|0|19|390|748|COTEJADO EN PLENO
="230178C0200"|230178C020002|23|QUINTANA ROO|="01"|DISTRITO 1|="0178"|2|C|0|2|2|15|5|3|147|41|9|108|29|1|0|-|0|1|0|0|2|1|0|0|0|1|10|0|1|0|0|1|19|394|748|COTEJADO EN PLENO
="230179B0100"|230179B010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|1|B|0|2|2|15|9|3|105|9|16|70|14|4|3|-|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|20|270|740|COTEJADO EN PLENO
="230179C0100"|230179C010002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|1|C|0|2|2|18|5|0|123|17|13|74|9|2|2|-|1|1|0|0|0|1|0|0|0|0|2|0|3|0|1|1|8|281|740|COTEJADO EN PLENO
="230179C0200"|230179C020002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|2|C|0|2|2|17|4|0|132|10|16|84|17|1|13|-|3|3|0|1|1|0|0|0|6|1|4|4|2|0|1|0|23|343|740|COTEJADO EN PLENO
="230179C0300"|230179C030002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|3|C|0|2|2|15|16|2|132|11|17|85|13|1|4|-|0|2|0|0|0|0|0|0|0|0|7|0|0|0|0|2|13|320|740|COTEJADO EN PLENO
="230179C0400"|230179C040002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|4|C|0|2|2|17|8|2|127|7|14|90|12|1|8|-|1|3|0|0|0|0|0|0|0|0|4|3|0|1|1|0|24|323|740|COTEJADO EN PLENO
="230179C0500"|230179C050002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|5|C|0|2|2|15|7|3|125|13|13|83|10|1|5|-|0|1|0|0|0|0|0|2|1|0|4|1|1|1|0|0|14|300|740|COTEJADO EN PLENO
="230179C0600"|230179C060002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|6|C|0|2|2|12|10|1|113|14|14|69|21|4|10|-|2|0|0|0|0|1|0|0|0|0|3|0|0|0|0|1|11|286|740|COTEJADO EN PLENO
="230179C0700"|230179C070002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|7|C|0|2|2|21|7|4|81|6|25|89|8|2|7|-|1|0|0|0|1|0|0|0|0|1|2|0|0|0|0|0|19|274|740|COTEJADO EN PLENO
